ID,Full Guideline,Slogan,Restructured,Example,Argument,Support/Citation,Data Domain,Tool Used/Mentioned,Dashboard Type,Authors,Work,Year,Publisher,How I found it ,Format,Reason for Rating,Subjective Trust Score:,Link,Guideline + Slogan,doc_id,cleaned_text,tokens,preprocessed_text,cluster
D001.011,[Showing context] can be done using color or simple symbols such as up and down arrows. ,Add context,"When showing context, use visual cues like color or symbols (e.g., arrows)","In the Google Analytics sample below the green font indicates good, and the red is bad. With the bounce rate metric having a down arrow, the green font provides that context that down is an improvement with that data type.","This significantly reduces the confusion when looking at visuals such as this. Even if you understand what you are looking at, the clarity is important to prevent it from being misunderstood. ",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Add context: [Showing context] can be done using color or simple symbols such as up and down arrows. ,doc_0010,[Showing context] can be done using color or simple symbols such as up and down arrows.,"['showing', 'context', 'done', 'using', 'color', 'simple', 'symbol', 'arrow']",showing context done using color simple symbol arrow,7
D001.012,Add more emphasis to headers and key values by making fonts larger or use a darker color.,Use contrast,"When emphasizing headers and key values, use larger fonts or darker colors",There are also red borders to section off the headings and the totals are in a bold font to emphasize them.,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Use contrast: Add more emphasis to headers and key values by making fonts larger or use a darker color.,doc_0011,Add more emphasis to headers and key values by making fonts larger or use a darker color.,"['add', 'emphasis', 'header', 'key', 'value', 'making', 'font', 'larger', 'use', 'darker', 'color']",add emphasis header key value making font larger use darker color,7
D001.013,Create associations by organizing and grouping dashboard elements sensibly.,Organize and group elements,"When arranging dashboard elements, group them sensibly",,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Organize and group elements: Create associations by organizing and grouping dashboard elements sensibly.,doc_0012,Create associations by organizing and grouping dashboard elements sensibly.,"['create', 'association', 'organizing', 'grouping', 'dashboard', 'element', 'sensibly']",create association organizing grouping dashboard element sensibly,0
D001.014,Be consistent with fonts and colors,Be consistent with fonts and colors,"When styling your dashboard, be consistent with fonts and colors",,You do not want to dazzle your readers,,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Be consistent with fonts and colors: Be consistent with fonts and colors,doc_0013,Be consistent with fonts and colors,"['consistent', 'font', 'color']",consistent font color,4
D001.015,Use descriptive labels on your visuals.,Use colors and labels effectively,"When adding visuals, use descriptive labels",,Don’t throw away the opportunity to add more value to your dashboard,,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Use colors and labels effectively: Use descriptive labels on your visuals.,doc_0014,Use descriptive labels on your visuals.,"['use', 'descriptive', 'label', 'visuals']",use descriptive label visuals,0
D001.016,Colors can also add more depth to a visual,Use colors and labels effectively,"When enhancing visuals, use color","In the image below, a Conditional Formatting rule has been set for the values in the map. Those above a specified target automatically change to green.","Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Use colors and labels effectively: Colors can also add more depth to a visual,doc_0015,Colors can also add more depth to a visual,"['color', 'also', 'add', 'depth', 'visual']",color also add depth visual,7
D001.017,Don’t try to fit all the information on one page.,Access to more detail,"When designing your layout, don’t fit everything on one page",In the image below there is a drillthrough set for the countries and it is being applied on Germany.,"Whatever the goal of your dashboard, the following best practices will put you on the right path to creating effective dashboards.",,Nonspecific,"Excel, Power BI",A dashboard is a visual presentation of key information.,Alan Murray,12 Best Practices in Dashboard Design,Unknown,Go Skills,Google,web article,Publisher primarily sells trainings,3.0,https://www.goskills.com/Excel/Resources/Best-practices-in-dashboard-design,Access to more detail: Don’t try to fit all the information on one page.,doc_0016,Don’t try to fit all the information on one page.,"['try', 'fit', 'information', 'one', 'page']",try fit information one page,6
D002.001,Be clear about what you’re trying to achieve,Be clear about what you’re trying to achieve,"When building your dashboard, be clear about what you're trying to achieve",https://www.geckoboard.com/dashboard-examples/executive/,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Be clear about what you’re trying to achieve: Be clear about what you’re trying to achieve,doc_0017,Be clear about what you’re trying to achieve,"['clear', 'trying', 'achieve']",clear trying achieve,0
D002.002,Include only the most important content,Include only the most important content,"When choosing content, include only what’s most important",Simplified Image,Every inch on your TV dashboard is valuable real-estate. Adding too much information can detract from what’s important and make everything harder to find. If you’re really struggling to fit everything in then you may need more than one dashboard.,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Include only the most important content: Include only the most important content,doc_0018,Include only the most important content,"['include', 'important', 'content']",include important content,6
D002.003,Consider data ink ratio,Consider data ink ratio,"When formatting visuals, consider data-ink ratio",Simplified Image,"Well designed dashboards (and other data visualizations) aim to use as little non-data ink as possible – in other words, they have a good data ink ratio.",Tufte,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Consider data ink ratio: Consider data ink ratio,doc_0019,Consider data ink ratio,"['consider', 'data', 'ink', 'ratio']",consider data ink ratio,0
D002.004,Round your numbers,Round your numbers,"When showing numbers, round them",Simplified Image,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Round your numbers: Round your numbers,doc_0020,Round your numbers,"['round', 'number']",round number,0
D002.005,Use the most efficient visualization,Use the most efficient visualization,"When visualizing data, use the most efficient chart type, because of miscommunication + for better insight delivery.",Simplified Image,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Use the most efficient visualization: Use the most efficient visualization,doc_0021,Use the most efficient visualization,"['use', 'efficient', 'visualization']",use efficient visualization,5
D002.006,pie charts and area charts are rarely the best choice of visualization.,Use the most efficient visualization,"When choosing charts, avoid pie and area charts, because of limited clarity + for better visual accuracy.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Use the most efficient visualization: pie charts and area charts are rarely the best choice of visualization.,doc_0022,pie charts and area charts are rarely the best choice of visualization.,"['pie', 'chart', 'area', 'chart', 'rarely', 'best', 'choice', 'visualization']",pie chart area chart rarely best choice visualization,5
D002.007,Group your related metrics,Group your related metrics,"When designing, group related metrics, because of scattered information + for clearer organization.",Simplified Image,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Group your related metrics: Group your related metrics,doc_0023,Group your related metrics,"['group', 'related', 'metric']",group related metric,7
D002.008,Giving groups a title makes them easier to spot.,Group your related metrics,"When grouping elements, add a title, because of unmarked clusters + for easier recognition.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Group your related metrics: Giving groups a title makes them easier to spot.,doc_0024,Giving groups a title makes them easier to spot.,"['giving', 'group', 'title', 'make', 'easier', 'spot']",giving group title make easier spot,4
D002.009,Be consistent,Be consistent,"When designing visuals, be consistent, because of erratic design + for cohesive interpretation.",Simplified Image,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Be consistent: Be consistent,doc_0025,Be consistent,['consistent'],consistent,4
D002.010,Use size and position to show hierarchy,Use size and position to show hierarchy,"When establishing hierarchy, use size and position, because of equal-weighted elements + for clearer structure.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Use size and position to show hierarchy: Use size and position to show hierarchy,doc_0026,Use size and position to show hierarchy,"['use', 'size', 'position', 'show', 'hierarchy']",use size position show hierarchy,4
D002.011,"In terms of positioning, the top left corner of your dashboard is the best location",Use size and position to show hierarchy,"When placing content, prioritize the top left corner, because of natural viewing behavior + for maximum visibility.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,"Use size and position to show hierarchy: In terms of positioning, the top left corner of your dashboard is the best location",doc_0027,"In terms of positioning, the top left corner of your dashboard is the best location","['term', 'positioning', 'top', 'left', 'corner', 'dashboard', 'best', 'location']",term positioning top left corner dashboard best location,2
D002.012,It’s better to leave a gap than to make something bigger just to fill it.,Don’t be afraid of empty space,"When space is left, leave gaps rather than enlarging content, because of forced scaling + for cleaner layout.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Don’t be afraid of empty space: It’s better to leave a gap than to make something bigger just to fill it.,doc_0028,It’s better to leave a gap than to make something bigger just to fill it.,"['better', 'leave', 'gap', 'make', 'something', 'bigger', 'fill']",better leave gap make something bigger fill,4
D002.013,Give your numbers context,Give your numbers context,"When displaying numbers, give them context, because of isolated values + for more meaningful interpretation.",Simplified Image,"To know if a number’s good or bad your viewers need context. Would they know, for instance, that 42 new leads today is out of the ordinary?",,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Give your numbers context: Give your numbers context,doc_0029,Give your numbers context,"['give', 'number', 'context']",give number context,0
D002.014,"If you’re working towards a goal, include the target as well as your current progress.",Give your numbers context,"If working toward a goal, show both the target and current progress, because of incomplete status + for goal tracking.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,"Give your numbers context: If you’re working towards a goal, include the target as well as your current progress.",doc_0030,"If you’re working towards a goal, include the target as well as your current progress.","['working', 'towards', 'goal', 'include', 'target', 'well', 'current', 'progress']",working towards goal include target well current progress,6
D002.015,You can also add warnings for when a metric is above or below a certain threshold to make it easier to spot problems.,Give your numbers context,"When monitoring thresholds, add warnings, because of hidden issues + for faster problem detection.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Give your numbers context: You can also add warnings for when a metric is above or below a certain threshold to make it easier to spot problems.,doc_0031,You can also add warnings for when a metric is above or below a certain threshold to make it easier to spot problems.,"['also', 'add', 'warning', 'metric', 'certain', 'threshold', 'make', 'easier', 'spot', 'problem']",also add warning metric certain threshold make easier spot problem,4
D002.016,Use clear labels your audience will understand,Use clear labels your audience will understand,"When labeling, use clear language your audience understands, because of confusion + for accessibility.",Simplified Image,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Use clear labels your audience will understand: Use clear labels your audience will understand,doc_0032,Use clear labels your audience will understand,"['use', 'clear', 'label', 'audience', 'understand']",use clear label audience understand,0
D002.017,Abbreviations can be helpful too (as long as your audience understand them),Use clear labels your audience will understand,"When abbreviating, make sure the audience understands them, because of ambiguity + for smoother reading.",“7d” instead of “7 days”,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Use clear labels your audience will understand: Abbreviations can be helpful too (as long as your audience understand them),doc_0033,Abbreviations can be helpful too (as long as your audience understand them),"['abbreviation', 'helpful', 'long', 'audience', 'understand']",abbreviation helpful long audience understand,2
D002.018,Headings can also be used to reduce repetition.,Use clear labels your audience will understand,"When structuring text, use headings to reduce repetition, because of redundancy + for more concise layout.","Imagine you have the same metric for different time frames e.g. signups today, signups this month etc. If they’re all grouped under a heading called “Signups” you don’t need to repeat it each time.",,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Use clear labels your audience will understand: Headings can also be used to reduce repetition.,doc_0034,Headings can also be used to reduce repetition.,"['heading', 'also', 'used', 'reduce', 'repetition']",heading also used reduce repetition,7
D002.019,Remember it’s for people,Remember it’s for people,"When designing dashboards, remember it’s for people, because of disengaged users + for better interaction.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Remember it’s for people: Remember it’s for people,doc_0035,Remember it’s for people,"['remember', 'people']",remember people,4
D002.020,"Ultimately, [dashboard design is] about getting people to engage with the information",Remember it’s for people,,,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,"Remember it’s for people: Ultimately, [dashboard design is] about getting people to engage with the information",doc_0036,"Ultimately, [dashboard design is] about getting people to engage with the information","['ultimately', 'dashboard', 'design', 'getting', 'people', 'engage', 'information']",ultimately dashboard design getting people engage information,1
D002.021,Keep evolving your dashboards,Keep evolving your dashboards,"When developing dashboards, keep improving them, because of changing needs + for continued relevance.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Keep evolving your dashboards: Keep evolving your dashboards,doc_0037,Keep evolving your dashboards,"['keep', 'evolving', 'dashboard']",keep evolving dashboard,1
D002.022,Check your dashboard is driving the behaviour you intended.,Keep evolving your dashboards,"When evaluating impact, check that the dashboard drives the intended behavior, because of misalignment + for goal effectiveness.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4.0,https://www.geckoboard.com/best-practice/dashboard-design/,Keep evolving your dashboards: Check your dashboard is driving the behaviour you intended.,doc_0038,Check your dashboard is driving the behaviour you intended.,"['check', 'dashboard', 'driving', 'behaviour', 'intended']",check dashboard driving behaviour intended,1
D003.001,Define the purpose of the dashboard.,Define the purpose of the dashboard.,"When evaluating impact, check that the dashboard drives the intended behavior, because of misalignment + for goal effectiveness.",Exemplar Dashboard,Getting this wrong renders your further efforts meaningless,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4.0,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,Define the purpose of the dashboard.: Define the purpose of the dashboard.,doc_0039,Define the purpose of the dashboard.,"['define', 'purpose', 'dashboard']",define purpose dashboard,6
D003.002,The type of dashboard you need should be determined by the user roles and needs you to seek to satisfy.,Define the purpose of the dashboard.,"When designing, match the dashboard type to user roles and needs, because of one-size-fits-all + for tailored utility.",Exemplar Dashboard,,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4.0,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,Define the purpose of the dashboard.: The type of dashboard you need should be determined by the user roles and needs you to seek to satisfy.,doc_0040,The type of dashboard you need should be determined by the user roles and needs you to seek to satisfy.,"['type', 'dashboard', 'need', 'determined', 'user', 'role', 'need', 'seek', 'satisfy']",type dashboard need determined user role need seek satisfy,1
D003.003,Chose [sic] the right representation for the data.,Chose [sic] the right representation for the data.,"When choosing visuals, pick the right representation for the data, because of mismatched formats + for accurate communication.",Exemplar Single Charts,"Choosing the wrong chart type, or defaulting to the most common type of data visualization could confuse users or lead to data misinterpretation.",,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4.0,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,Chose [sic] the right representation for the data.: Chose [sic] the right representation for the data.,doc_0041,Chose [sic] the right representation for the data.,"['chose', 'sic', 'right', 'representation', 'data']",chose sic right representation data,6
