ID,Full Guideline,Slogan,Restructured,Example,Argument,Support/Citation,Data Domain,Tool Used/Mentioned,Dashboard Type,Authors,Work,Year,Publisher,How I found it ,Format,Reason for Rating,Subjective Trust Score:,Link,Guideline + Slogan
D002.012,It’s better to leave a gap than to make something bigger just to fill it.,Don’t be afraid of empty space,"When space is left, leave gaps rather than enlarging content, because of forced scaling + for cleaner layout.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Don’t be afraid of empty space: It’s better to leave a gap than to make something bigger just to fill it.
D002.013,Give your numbers context,Give your numbers context,"When displaying numbers, give them context, because of isolated values + for more meaningful interpretation.",Simplified Image,"To know if a number’s good or bad your viewers need context. Would they know, for instance, that 42 new leads today is out of the ordinary?",,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Give your numbers context: Give your numbers context
D002.014,"If you’re working towards a goal, include the target as well as your current progress.",Give your numbers context,"If working toward a goal, show both the target and current progress, because of incomplete status + for goal tracking.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,"Give your numbers context: If you’re working towards a goal, include the target as well as your current progress."
D002.015,You can also add warnings for when a metric is above or below a certain threshold to make it easier to spot problems.,Give your numbers context,"When monitoring thresholds, add warnings, because of hidden issues + for faster problem detection.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Give your numbers context: You can also add warnings for when a metric is above or below a certain threshold to make it easier to spot problems.
D002.016,Use clear labels your audience will understand,Use clear labels your audience will understand,"When labeling, use clear language your audience understands, because of confusion + for accessibility.",Simplified Image,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Use clear labels your audience will understand: Use clear labels your audience will understand
D002.017,Abbreviations can be helpful too (as long as your audience understand them),Use clear labels your audience will understand,"When abbreviating, make sure the audience understands them, because of ambiguity + for smoother reading.",“7d” instead of “7 days”,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Use clear labels your audience will understand: Abbreviations can be helpful too (as long as your audience understand them)
D002.018,Headings can also be used to reduce repetition.,Use clear labels your audience will understand,"When structuring text, use headings to reduce repetition, because of redundancy + for more concise layout.","Imagine you have the same metric for different time frames e.g. signups today, signups this month etc. If they’re all grouped under a heading called “Signups” you don’t need to repeat it each time.",,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Use clear labels your audience will understand: Headings can also be used to reduce repetition.
D002.019,Remember it’s for people,Remember it’s for people,"When designing dashboards, remember it’s for people, because of disengaged users + for better interaction.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Remember it’s for people: Remember it’s for people
D002.020,"Ultimately, [dashboard design is] about getting people to engage with the information",Remember it’s for people,,,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,"Remember it’s for people: Ultimately, [dashboard design is] about getting people to engage with the information"
D002.021,Keep evolving your dashboards,Keep evolving your dashboards,"When developing dashboards, keep improving them, because of changing needs + for continued relevance.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Keep evolving your dashboards: Keep evolving your dashboards
D002.022,Check your dashboard is driving the behaviour you intended.,Keep evolving your dashboards,"When evaluating impact, check that the dashboard drives the intended behavior, because of misalignment + for goal effectiveness.",,,,Nonspecific,Nonspecific,Undefined,Geckoboard,Design and build a great dashboard,2023,Geckoboard,Google,Web article,Publisher has a dashboard-making product,4,https://www.geckoboard.com/best-practice/dashboard-design/,Keep evolving your dashboards: Check your dashboard is driving the behaviour you intended.
D003.001,Define the purpose of the dashboard.,Define the purpose of the dashboard.,"When evaluating impact, check that the dashboard drives the intended behavior, because of misalignment + for goal effectiveness.",Exemplar Dashboard,Getting this wrong renders your further efforts meaningless,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,Define the purpose of the dashboard.: Define the purpose of the dashboard.
D003.002,The type of dashboard you need should be determined by the user roles and needs you to seek to satisfy.,Define the purpose of the dashboard.,"When designing, match the dashboard type to user roles and needs, because of one-size-fits-all + for tailored utility.",Exemplar Dashboard,,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,Define the purpose of the dashboard.: The type of dashboard you need should be determined by the user roles and needs you to seek to satisfy.
D003.003,Chose [sic] the right representation for the data.,Chose [sic] the right representation for the data.,"When choosing visuals, pick the right representation for the data, because of mismatched formats + for accurate communication.",Exemplar Single Charts,"Choosing the wrong chart type, or defaulting to the most common type of data visualization could confuse users or lead to data misinterpretation.",,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,Chose [sic] the right representation for the data.: Chose [sic] the right representation for the data.
D003.004,"Before you start, take a look into internal documents and reports to get some inspiration.",Chose [sic] the right representation for the data.,"Before starting design, review internal documents and reports, because of limited inspiration + for aligned structure.",,,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,"Chose [sic] the right representation for the data.: Before you start, take a look into internal documents and reports to get some inspiration."
D003.005,"When one of your dimensions is a time it should always be an axis X, as time in charts flows from left to right",Chose [sic] the right representation for the data.,"When time is a dimension, place it on the X-axis, because of unnatural flow + for chronological logic.",,,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,"Chose [sic] the right representation for the data.: When one of your dimensions is a time it should always be an axis X, as time in charts flows from left to right"
D003.006,"When using a horizontal or vertical bar chart, try to sort columns by biggest value rather than not randomly sorting them.",Chose [sic] the right representation for the data.,"When using bar charts, sort values from largest to smallest, because of random order + for easier comparison.",Exemplar Single Charts,,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,"Chose [sic] the right representation for the data.: When using a horizontal or vertical bar chart, try to sort columns by biggest value rather than not randomly sorting them."
D003.007,"With the line graph, charts shouldn’t show more than 5 values and with bar charts, it’s not recommendable to show more than 7 values.",Chose [sic] the right representation for the data.,"When using line graphs, limit to 5 values; for bar charts, no more than 7, because of overcrowded visuals + for readability.",Exemplar Single Charts,,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,"Chose [sic] the right representation for the data.: With the line graph, charts shouldn’t show more than 5 values and with bar charts, it’s not recommendable to show more than 7 values."
D003.008,"Pie and Donut charts have a bad reputation for data visualization. These charts are among the most frequently used, and they are also the most frequently misused charts.",Chose [sic] the right representation for the data.,"When considering pie or donut charts, be cautious, because of frequent misuse + for visual integrity.",Exemplar Single Charts,,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,"Chose [sic] the right representation for the data.: Pie and Donut charts have a bad reputation for data visualization. These charts are among the most frequently used, and they are also the most frequently misused charts."
D003.009,"Distribution charts help you to illustrate outliers, the normal tendency, and the range of information in your values.",Chose [sic] the right representation for the data.,"When visualizing distributions, use distribution charts, because of hidden outliers and patterns + for fuller context.",Exemplar Single Charts,,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,"Chose [sic] the right representation for the data.: Distribution charts help you to illustrate outliers, the normal tendency, and the range of information in your values."
D003.010,But certain chart types should be entirely avoided.,Chose [sic] the right representation for the data.,"When selecting chart types, avoid poor choices entirely, because of ineffective visuals + for clarity.",Exemplar Single Charts,,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,Chose [sic] the right representation for the data.: But certain chart types should be entirely avoided.
D003.011,"Follow clear and consistent naming conventions and consistent date formatting, and truncate large values.","Follow clear and consistent naming conventions and consistent date formatting, and truncate large values.","When formatting, follow consistent naming and date formats, and truncate large numbers, because of inconsistencies + for cleaner presentation.",,"The biggest benefit of using a clear framework is data consistency. If your data is named the same way in each tool, it will be easier for you to use those tools.",,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,"Follow clear and consistent naming conventions and consistent date formatting, and truncate large values.: Follow clear and consistent naming conventions and consistent date formatting, and truncate large values."
D003.012,Define the layout and flow. Prioritize.,Define the layout and flow. Prioritize.,"When planning structure, define layout and flow, because of scattered design + for prioritized communication.",,,,Nonspecific,Nonspecific,"an at a glance preview of the most crucial information for the user at the moment he is looking at it, and an easy way to navigate directly to various areas of the application that require users attention. Operational dashboards aim to impart critical information quickly to users as they are engaged in time-sensitive tasks. Analytical dashboards provide the user with at-a-glance information used for analysis and decision making.",Taras Bakusevych,10 rules for better dashboard design,2018,Medium - UX Planet,Google,Web article,Author claims significant design experience,4,https://uxplanet.org/10-rules-for-better-dashboard-design-ef68189d734c,Define the layout and flow. Prioritize.: Define the layout and flow. Prioritize.
